collecttime|collecttimegmt|timezoneoffset|dstsaving|loadtime|granularity|status|meid|me|gnbcucpfunction|nrcellcu|cellid|dumemoid|gnbid|gnbidlength|gnbplmn|masteroperatorid|nrcarriergroupid|nrphysicalcellduid|pdf_index|c600000000|c600000001|c600000002|c600000003|c600000004|c600000018|c600000019|c600000023|c600000025|c600000026|c600000090|c600080000|c600080001|c600080002|c600080003|c600080004|c600080005|c600080006|c600080007|c600080008|c600080009|c600080010|c600080011|c600080012|c600080013|c600080014|c600080015|c600080017|c600080019|c600080020|c600080021|c600080022|c600080023|c600080024|c600080025|c600080026|c600080027|c600080040|c600080041|c600080050|c600080051|c600080053|c600080054|c600080055|c600080056|c600080057|c600080058|c600080059|c600080060|c600080061|c600080062|c600080063|c600080064|c600080065|c600080066|c600080067|c600080068|c600080070|c600080073|c600080105|c600080106|c600080107|c600080108|c600080109|c600080110|c600080111|c600080112|c600080113|c600080114|c600080115|c600080116|c600080117|c600080118|c600080119|c600080120|c600080121|c600080122|c600080123|c600080126|c600190000|c600190001|c600800025|c600800026|c600800027|c600800028|c600800029|c600800031|c600800032|c600800033|c600840000|c600840001|c600840002|c600840003|c600840004|c600840005|c600840007|c600850033|c600080074|c600080075|c600000022|c600000024|c600000045|c600000046|c600080016|c600080018|c600080028|c600080029|c600080030|c600080031|c600080032|c600080033|c600080034|c600080035|c600850003|c600850004|c600850010|c600850011|c600850012|c600850029|c600850030|c600850031|c600850032|c600850034|c600850035|c600850036|c600850038|c600080124|plmninfocu|servingplmn
2023-09-20 00:00:00|2023-09-19 16:00:00|480|0|2023-09-19 16:37:13.842165|3600|4||28f9721a-7329-48f7-a036-29c5c55bb700|460-11_13577008|1152|1152|13577008|13577008|24|460-11|46011-13577008-1152|1|1|15||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.000000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||||||||||||0|0|0|||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|||1|
2023-09-20 00:00:00|2023-09-19 16:00:00|480|0|2023-09-19 16:37:13.842165|3600|4||28f9721a-7329-48f7-a036-29c5c55bb700|460-11_13577008|1153|1153|13577008|13577008|24|460-11|46011-13577008-1153|2|2|15||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0.000000|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0||||||||||||||||||0|0|0|||||||||||||||0|0|0|0|0|0|0|0|0|0|0|0|||1|
