collecttime|collecttimegmt|timezoneoffset|dstsaving|loadtime|granularity|status|meid|me|gnbcucpfunction|nrcellcu|gnbplmn|gnbidlength|gnbid|cellid|dume|gnbdufunction|nrcelldu|dumemoid|masteroperatorid|nrradioinfrastructure|nrphysicalcellduid|nrphysicalcelldu|nrcarriergroupid|nrcarriergroup|cellatt|duplexmode|ssbfrequency|frequencybandlistdl
2023-08-03 00:00:00|2023-08-02 16:00:00|480|0|2023-08-02 16:20:11.742491|3600|4||014b9d5f-d8de-406d-aa7e-57f1460f5e01|460-01_13575621|6|460-01|24|13575621|6|014b9d5f-d8de-406d-aa7e-57f1460f5e01|460-01_13575621|6|13575621|46011-13575621-6|1|6|6|3|3|sub6G|TDD|3408.96|78
2023-08-03 00:00:00|2023-08-02 16:00:00|480|0|2023-08-02 16:20:11.742491|3600|4||0385db88-6958-4cf5-93f3-4c195faf94d6|460-11_13576039|1026|460-11|24|13576039|1026|0385db88-6958-4cf5-93f3-4c195faf94d6|460-11_13576039|1026|13576039|46011-13576039-1026|1|3|3|1|1|sub6G|FDD|2144.55|1
