groupid|model|layer0|layer1|layer2|layer3|layer4|layer5|layer6|layer7|layer8|layer9|layer10|grouptype|meplmnlist|nr|nbiot|lte|ltefdd|ltetdd|umts|gsm
0dc573bd-cd3a-4f2f-a36a-21162dec78fe|nrcellcu|4cbb48a3-33b8-4ca5-a46a-ab4f8b4786a7|460-01_11311702|1027|||||||||group|460-01;460-11|t|f|f|f|f|f|f
0dc573bd-cd3a-4f2f-a36a-21162dec78fe|nrcellcu|02607516-3314-467e-843a-5d2708975d1e|460-01_11273086|257|||||||||group|460-01;460-11|t|f|f|f|f|f|f
